pais,region,subregion
Algeria,Africa,
Angola,Africa,
Benin,Africa,
Botswana,Africa,
Burkina Faso,Africa,
Burundi,Africa,
Cabo Verde,Africa,
Cameroon,Africa,
Central African Republic (the),Africa,
Chad,Africa,
Comoros (the),Africa,
Congo (the Democratic Republic of the),Africa,
Congo (the),Africa,
Côte d'Ivoire,Africa,
Djibouti,Africa,
Egypt,Africa,
Equatorial Guinea,Africa,
Eritrea,Africa,
Eswatini,Africa,
Ethiopia,Africa,
Gabon,Africa,
Gambia (the),Africa,
Ghana,Africa,
Guinea,Africa,
Guinea-Bissau,Africa,
Kenya,Africa,
Lesotho,Africa,
Liberia,Africa,
Libya,Africa,
Madagascar,Africa,
Malawi,Africa,
Mali,Africa,
Mauritania,Africa,
Mauritius,Africa,
Mayotte,Africa,
Morocco,Africa,
Mozambique,Africa,
Namibia,Africa,
Niger (the),Africa,
Nigeria,Africa,
Réunion,Africa,
Rwanda,Africa,
"Saint Helena, Ascension and Tristan da Cunha",Africa,
Sao Tome and Principe,Africa,
Senegal,Africa,
Seychelles,Africa,
Sierra Leone,Africa,
Somalia,Africa,
South Africa,Africa,
South Sudan,Africa,
Sudan (the),Africa,
"Tanzania, the United Republic of",Africa,
Togo,Africa,
Tunisia,Africa,
Uganda,Africa,
Western Sahara*,Africa,
Zambia,Africa,
Zimbabwe,Africa,
Antarctica,Antarctic,
Bouvet Island,Antarctic,
French Southern Territories (the),Antarctic,
Heard Island and McDonald Islands,Antarctic,
South Georgia and the South Sandwich Islands,Antarctic,
Afghanistan,Asia,
Armenia,Asia,
Azerbaijan,Asia,
Bangladesh,Asia,
Bhutan,Asia,
British Indian Ocean Territory (the),Asia,
Brunei Darussalam,Asia,
Cambodia,Asia,
China,Asia,
Georgia,Asia,
Hong Kong,Asia,
India,Asia,
Indonesia,Asia,
Japan,Asia,
Kazakhstan,Asia,
Korea (the Democratic People's Republic of),Asia,
Korea (the Republic of),Asia,
Kyrgyzstan,Asia,
Lao People's Democratic Republic (the),Asia,
Macao,Asia,
Malaysia,Asia,
Maldives,Asia,
Mongolia,Asia,
Myanmar,Asia,
Nepal,Asia,
Pakistan,Asia,
Philippines (the),Asia,
Singapore,Asia,
Sri Lanka,Asia,
Taiwan (Province of China),Asia,
Tajikistan,Asia,
Thailand,Asia,
Timor-Leste,Asia,
Turkmenistan,Asia,
Uzbekistan,Asia,
Viet Nam,Asia,
Belize,Central America,
