order_number,order_date,product_code,quantity,price,sales,country
10107,2003-02-24,S10_1678,30,95.7,2871.0,USA
10121,2003-05-07,S10_1678,34,81.35,2765.9,France
10134,2003-07-01,S10_1678,41,94.74,3884.34,France
10145,2003-08-25,S10_1678,45,83.26,3746.7,USA
10159,2003-10-10,S10_1678,49,100.0,5205.27,USA
10168,2003-10-28,S10_1678,36,96.66,3479.76,USA
10180,2003-11-11,S10_1678,29,86.13,2497.77,France
10188,2003-11-18,S10_1678,48,100.0,5512.32,Norway
10201,2003-12-01,S10_1678,22,98.57,2168.54,USA
10211,2004-01-15,S10_1678,41,100.0,4708.44,France
10223,2004-02-20,S10_1678,37,100.0,3965.66,Australia
10237,2004-04-05,S10_1678,23,100.0,2333.12,USA
10251,2004-05-18,S10_1678,28,100.0,3188.64,USA
10263,2004-06-28,S10_1678,34,100.0,3676.76,USA
10275,2004-07-23,S10_1678,45,92.83,4177.35,France
10285,2004-08-27,S10_1678,36,100.0,4099.68,USA
10299,2004-09-30,S10_1678,23,100.0,2597.39,Finland
10309,2004-10-15,S10_1678,41,100.0,4394.38,Norway
10318,2004-11-02,S10_1678,46,94.74,4358.04,USA
10329,2004-11-15,S10_1678,42,100.0,4396.14,USA
10341,2004-11-24,S10_1678,41,100.0,7737.93,Austria
10361,2004-12-17,S10_1678,20,72.55,1451.0,Australia
10375,2005-02-03,S10_1678,21,34.91,733.11,France
10388,2005-03-03,S10_1678,42,76.36,3207.12,USA
10403,2005-04-08,S10_1678,24,100.0,2434.56,UK
10417,2005-05-13,S10_1678,66,100.0,7516.08,Spain
10103,2003-01-29,S10_1949,26,100.0,5404.62,Norway
10112,2003-03-24,S10_1949,29,100.0,7209.11,Sweden
10126,2003-05-28,S10_1949,38,100.0,7329.06,Spain
10140,2003-07-24,S10_1949,37,100.0,7374.1,USA
10150,2003-09-19,S10_1949,45,100.0,10993.5,Singapore
10163,2003-10-20,S10_1949,21,100.0,4860.24,USA
10174,2003-11-06,S10_1949,34,100.0,8014.82,Australia
10183,2003-11-13,S10_1949,23,100.0,5372.57,USA
10194,2003-11-25,S10_1949,42,100.0,7290.36,France
10206,2003-12-05,S10_1949,47,100.0,9064.89,Canada
10215,2004-01-29,S10_1949,35,100.0,6075.3,USA
10228,2004-03-10,S10_1949,29,100.0,6463.23,USA
10245,2004-05-04,S10_1949,34,100.0,6120.34,USA
10258,2004-06-15,S10_1949,32,100.0,7680.64,Japan
10270,2004-07-19,S10_1949,21,100.0,4905.39,Australia
10280,2004-08-17,S10_1949,34,100.0,8014.82,Italy
10291,2004-09-08,S10_1949,37,100.0,7136.19,Sweden
10304,2004-10-11,S10_1949,47,100.0,10172.7,France
10312,2004-10-21,S10_1949,48,100.0,11623.7,USA
10322,2004-11-04,S10_1949,40,100.0,6000.4,USA
10333,2004-11-18,S10_1949,26,100.0,3003.0,USA
10347,2004-11-29,S10_1949,30,100.0,3944.7,Australia
10357,2004-12-10,S10_1949,32,100.0,5691.84,USA
10369,2005-01-20,S10_1949,41,100.0,4514.92,USA
10381,2005-02-17,S10_1949,36,100.0,8254.8,USA
10391,2005-03-09,S10_1949,24,100.0,2416.56,Australia
10411,2005-05-01,S10_1949,23,100.0,4140.23,Canada
10424,2005-05-31,S10_1949,50,100.0,12001.0,Spain
10107,2003-02-24,S10_2016,39,99.91,3896.49,USA
10120,2003-04-29,S10_2016,29,96.34,2793.86,Australia
10134,2003-07-01,S10_2016,27,100.0,3307.77,France
10145,2003-08-25,S10_2016,37,100.0,5192.95,USA
10159,2003-10-10,S10_2016,37,100.0,5016.83,USA
10168,2003-10-28,S10_2016,27,100.0,3660.93,USA
10180,2003-11-11,S10_2016,42,100.0,4695.6,France
10188,2003-11-18,S10_2016,38,96.34,3660.92,Norway
10201,2003-12-01,S10_2016,24,100.0,3025.92,USA
10210,2004-01-12,S10_2016,23,100.0,3009.09,Japan
10223,2004-02-20,S10_2016,47,100.0,5422.39,Australia
10236,2004-04-03,S10_2016,22,100.0,2852.08,USA
10251,2004-05-18,S10_2016,44,100.0,5756.52,USA
10263,2004-06-28,S10_2016,40,100.0,4472.0,USA
10275,2004-07-23,S10_2016,22,100.0,2904.44,France
10285,2004-08-27,S10_2016,47,100.0,6484.59,USA
10298,2004-09-27,S10_2016,39,96.34,3757.26,France
10308,2004-10-15,S10_2016,34,100.0,4043.96,USA
10318,2004-11-02,S10_2016,45,100.0,5566.5,USA
10329,2004-11-15,S10_2016,20,100.0,3176.0,USA
10339,2004-11-23,S10_2016,40,68.92,2756.8,Japan
10361,2004-12-17,S10_2016,26,51.15,1329.9,Australia
10374,2005-02-02,S10_2016,39,100.0,5288.01,Australia
10388,2005-03-03,S10_2016,50,44.51,2225.5,USA
10402,2005-04-07,S10_2016,45,100.0,5833.8,France
10417,2005-05-13,S10_2016,45,100.0,5887.35,Spain
10107,2003-02-24,S10_4698,27,100.0,6065.55,USA
10120,2003-04-29,S10_4698,46,100.0,9264.86,Australia
10134,2003-07-01,S10_4698,31,100.0,7023.98,France
